module,file,kind,responsibility,bj_added,fan_in_total,fan_in_production,fan_in_tests,fan_in_helpers,fan_in_scripts,fan_out_total,fan_out_production,fan_out_tests,fan_out_helpers,fan_out_scripts,importer_files,imported_modules
game.final_emission_text,game/final_emission_text.py,production,final-emission policy/metadata,False,50,37,10,3,0,1,1,0,0,0,game/acceptance_quality.py;game/dialogue_social_plan.py;game/emitted_speaker_signature.py;game/fallback_provenance_debug.py;game/final_emission_acceptance_quality.py;game/final_emission_answer_shape_primacy.py;game/final_emission_context_separation.py;game/final_emission_fast_fallback_composition.py;game/final_emission_finalize.py;game/final_emission_first_mention_composition.py;game/final_emission_gate_preflight_pregate_text.py;game/final_emission_gate_preflight_strict_social.py;game/final_emission_gate_preflight_telemetry.py;game/final_emission_generic_exit.py;game/final_emission_narrative_authority.py;game/final_emission_non_strict_stack.py;game/final_emission_opening_mode.py;game/final_emission_passive_scene_pressure.py;game/final_emission_referential_clarity.py;game/final_emission_repairs.py;game/final_emission_response_type.py;game/final_emission_scene_emit_integrity.py;game/final_emission_scene_facts.py;game/final_emission_scene_state_anchor.py;game/final_emission_sealed_fallback.py;game/final_emission_strict_social_stack.py;game/final_emission_terminal_pipeline.py;game/final_emission_tone_escalation.py;game/final_emission_validators.py;game/final_emission_visibility_fallback.py;game/interaction_continuity.py;game/narrative_authenticity.py;game/narrative_mode_contract.py;game/opening_deterministic_fallback.py;game/response_policy_contracts.py;game/speaker_contract_enforcement.py;game/upstream_response_repairs.py;tests/helpers/post_speaker_finalize_probe.py;tests/helpers/speaker_contract_risk.py;tests/helpers/speaker_gate_order.py;tests/test_acceptance_quality.py;tests/test_diegetic_fallback_block4.py;tests/test_final_emission_boundary_convergence.py;tests/test_final_emission_boundary_no_semantic_repair.py;tests/test_final_emission_gate_delegator_regression.py;tests/test_final_emission_visibility.py;tests/test_narrative_authority_rules.py;tests/test_ownership_registry.py;tests/test_prompt_context.py;tests/test_referential_clarity_player_coref.py,game.diegetic_fallback_narration
game.final_emission_tone_escalation,game/final_emission_tone_escalation.py,production,final-emission policy/metadata,True,9,5,4,0,0,4,4,0,0,0,game/final_emission_fem_assembly.py;game/final_emission_gate_preflight_defaults.py;game/final_emission_generic_exit.py;game/final_emission_non_strict_stack.py;game/final_emission_strict_social_stack.py;tests/test_final_emission_gate_delegator_regression.py;tests/test_ownership_registry.py;tests/test_tone_escalation_rules.py;tests/test_turn_packet_stage_diff_integration.py,game.final_emission_text;game.response_policy_contracts;game.tone_escalation;game.turn_packet
game.final_emission_validators,game/final_emission_validators.py,production,final-emission policy/metadata,False,21,10,10,1,0,4,4,0,0,0,game/api_turn_support.py;game/final_emission_answer_shape_primacy.py;game/final_emission_finalize.py;game/final_emission_meta.py;game/final_emission_referential_clarity.py;game/final_emission_repairs.py;game/final_emission_response_type.py;game/narrative_authenticity.py;game/narrative_mode_contract.py;game/upstream_response_repairs.py;tests/helpers/emission_smoke_assertions.py;tests/test_bounded_partial_quality.py;tests/test_fallback_behavior_validator.py;tests/test_final_emission_boundary_convergence.py;tests/test_final_emission_opening_fallback.py;tests/test_final_emission_repairs.py;tests/test_final_emission_validators.py;tests/test_n5_boundary_regressions.py;tests/test_referent_clarity_clause_consumption.py;tests/test_social_exchange_emission.py;tests/test_social_fallback_leak_containment.py,game.final_emission_text;game.referent_tracking;game.response_policy_contracts;game.social_exchange_emission
game.final_emission_visibility_fallback,game/final_emission_visibility_fallback.py,production,fallback selection/projection,False,18,6,10,2,0,18,18,0,0,0,game/final_emission_first_mention_composition.py;game/final_emission_opening_fallback.py;game/final_emission_passive_scene_pressure.py;game/final_emission_scene_emit_integrity.py;game/final_emission_sealed_fallback.py;game/final_emission_terminal_pipeline.py;tests/helpers/opening_fallback_gate_harness.py;tests/helpers/post_speaker_finalize_probe.py;tests/test_final_emission_first_mention_composition.py;tests/test_final_emission_gate_delegator_regression.py;tests/test_final_emission_opening_fallback.py;tests/test_final_emission_passive_scene_pressure.py;tests/test_final_emission_scene_emit_integrity.py;tests/test_final_emission_sealed_fallback.py;tests/test_final_emission_visibility_fallback.py;tests/test_ownership_registry.py;tests/test_referential_clarity_strict_social_local_repair.py;tests/test_speaker_contract_enforcement.py,game.anti_reset_emission_guard;game.diegetic_fallback_narration;game.exploration;game.final_emission_boundary_contract;game.final_emission_first_mention_composition;game.final_emission_meta;game.final_emission_opening_fallback;game.final_emission_opening_mode;game.final_emission_passive_scene_pressure;game.final_emission_referential_clarity;game.final_emission_scene_emit_integrity;game.final_emission_scene_facts;game.final_emission_sealed_fallback;game.final_emission_text;game.interaction_context;game.narration_visibility;game.social;game.social_exchange_emission
game.opening_deterministic_fallback,game/opening_deterministic_fallback.py,production,fallback selection/projection,False,5,3,2,0,0,3,3,0,0,0,game/final_emission_opening_fallback.py;game/final_emission_response_type.py;game/upstream_response_repairs.py;tests/test_final_emission_gate_orchestration_order.py;tests/test_final_emission_opening_fallback.py,game.final_emission_meta;game.final_emission_opening_fallback;game.final_emission_text
game.opening_scene_realization,game/opening_scene_realization.py,production,semantic replacement attribution,False,3,2,1,0,0,2,2,0,0,0,game/planner_head_state.py;game/prompt_context.py;tests/test_opening_scene_realization.py,game.narration_visibility;game.opening_visible_fact_selection
game.output_sanitizer,game/output_sanitizer.py,production,sanitizer boundary,False,7,2,4,1,0,2,2,0,0,0,game/api_turn_support.py;game/final_emission_gate_preflight_strict_social.py;tests/helpers/golden_replay_projection.py;tests/test_final_emission_boundary_convergence.py;tests/test_output_sanitizer.py;tests/test_social_exchange_emission.py;tests/test_turn_trace_contract.py,game.final_emission_meta;game.social_exchange_emission
game.post_emission_speaker_adoption,game/post_emission_speaker_adoption.py,production,speaker finalization,False,4,1,3,0,0,5,5,0,0,0,game/api.py;tests/test_narration_transcript_regressions.py;tests/test_post_emission_speaker_adoption.py;tests/test_stale_interlocutor_invalidation_block3.py,game.emitted_speaker_signature;game.final_emission_meta;game.interaction_context;game.prompt_context;game.social
game.realization_authority,game/realization_authority.py,production,semantic replacement attribution,False,12,1,11,0,0,0,0,0,0,0,game/realization_provenance.py;tests/test_api_narration_path_selection.py;tests/test_diegetic_fallback_narration.py;tests/test_final_emission_gate_diagnostics.py;tests/test_final_emission_gate_orchestration_order.py;tests/test_final_emission_opening_fallback.py;tests/test_gm_retry.py;tests/test_realization_authority.py;tests/test_realization_provenance.py;tests/test_response_policy_contracts.py;tests/test_response_policy_enforcement_mutation.py;tests/test_upstream_response_repairs.py,
game.realization_provenance,game/realization_provenance.py,production,semantic replacement attribution,False,26,7,17,2,0,1,1,0,0,0,game/api.py;game/final_emission_response_type.py;game/final_emission_sealed_fallback.py;game/gm.py;game/gm_retry.py;game/social_exchange_emission.py;game/upstream_response_repairs.py;tests/helpers/golden_replay_projection.py;tests/helpers/opening_fallback_evidence.py;tests/test_api_narration_path_selection.py;tests/test_build_messages_projection.py;tests/test_diegetic_fallback_narration.py;tests/test_final_emission_acceptance_quality.py;tests/test_final_emission_gate_diagnostics.py;tests/test_final_emission_gate_n4.py;tests/test_final_emission_gate_orchestration_order.py;tests/test_final_emission_gate_selector_snapshots.py;tests/test_final_emission_meta.py;tests/test_final_emission_opening_fallback.py;tests/test_final_emission_sealed_fallback.py;tests/test_final_emission_visibility.py;tests/test_gm_retry.py;tests/test_realization_provenance.py;tests/test_response_policy_contracts.py;tests/test_response_policy_enforcement_mutation.py;tests/test_upstream_response_repairs.py,game.realization_authority
game.runtime_lineage_telemetry,game/runtime_lineage_telemetry.py,production,semantic replacement attribution,False,14,1,8,5,0,1,1,0,0,0,game/final_emission_replay_projection.py;tests/helpers/failure_dashboard_report.py;tests/helpers/golden_replay.py;tests/helpers/golden_replay_projection.py;tests/helpers/replay_observed_row_fixtures.py;tests/helpers/runtime_lineage_reporting.py;tests/test_failure_classifier.py;tests/test_failure_dashboard_report.py;tests/test_fallback_incidence_report.py;tests/test_final_emission_meta.py;tests/test_golden_replay_fallback_projection.py;tests/test_replacement_attribution_inventory.py;tests/test_replay_drift_taxonomy.py;tests/test_runtime_lineage_telemetry.py,game.telemetry_vocab
game.social_exchange_emission,game/social_exchange_emission.py,production,strict-social composition,False,53,27,25,1,0,12,12,0,0,0,game/anti_reset_emission_guard.py;game/api.py;game/api_turn_support.py;game/dialogue_social_plan.py;game/emitted_speaker_signature.py;game/final_emission_answer_shape_primacy.py;game/final_emission_anti_railroading.py;game/final_emission_context_separation.py;game/final_emission_fem_assembly.py;game/final_emission_gate_preflight_strict_social.py;game/final_emission_generic_exit.py;game/final_emission_narrative_authority.py;game/final_emission_referential_clarity.py;game/final_emission_response_type.py;game/final_emission_sealed_fallback.py;game/final_emission_strict_social_stack.py;game/final_emission_terminal_pipeline.py;game/final_emission_validators.py;game/final_emission_visibility_fallback.py;game/gm.py;game/gm_retry.py;game/interaction_context.py;game/interaction_continuity.py;game/output_sanitizer.py;game/response_policy_enforcement.py;game/speaker_contract_enforcement.py;game/upstream_response_repairs.py;tests/helpers/strict_social_harness.py;tests/test_anti_reset_emission_guard.py;tests/test_broad_address_social_bid.py;tests/test_contextual_minimal_repair_regressions.py;tests/test_dialogue_interaction_establishment.py;tests/test_fallback_shipped_contract_propagation.py;tests/test_final_emission_boundary_convergence.py;tests/test_final_emission_gate_delegator_regression.py;tests/test_final_emission_gate_orchestration_order.py;tests/test_final_emission_meta.py;tests/test_final_emission_sealed_fallback.py;tests/test_final_emission_visibility_fallback.py;tests/test_gm_retry.py;tests/test_narration_transcript_regressions.py;tests/test_narrative_authority_rules.py;tests/test_output_sanitizer.py;tests/test_ownership_registry.py;tests/test_realization_provenance.py;tests/test_social_answer_candidate.py;tests/test_social_emission_quality.py;tests/test_social_exchange_emission.py;tests/test_social_fallback_leak_containment.py;tests/test_social_interaction_authority.py;tests/test_social_speaker_grounding.py;tests/test_social_target_authority_regressions.py;tests/test_strict_social_emergency_fallback_dialogue.py,game.defaults;game.dialogue_targeting;game.exploration;game.gm;game.interaction_context;game.prompt_context;game.realization_provenance;game.response_policy_contracts;game.social;game.storage;game.utils;game.world
game.speaker_contract_enforcement,game/speaker_contract_enforcement.py,production,speaker finalization,False,15,4,8,3,0,4,4,0,0,0,game/final_emission_gate.py;game/final_emission_strict_social_stack.py;game/final_emission_terminal_pipeline.py;game/interaction_continuity.py;tests/helpers/gate_equivalence_monkeypatch.py;tests/helpers/gate_thin_boundary_locks.py;tests/helpers/speaker_relocation_shadow_harness.py;tests/test_block_s_speaker_local_rebind_equivalence.py;tests/test_block_t_speaker_relocation_shadow_equivalence.py;tests/test_final_emission_gate_delegator_regression.py;tests/test_ownership_registry.py;tests/test_social_exchange_emission.py;tests/test_speaker_contract_enforcement.py;tests/test_speaker_contract_enforcement_extraction.py;tests/test_speaker_contract_risk.py,game.emitted_speaker_signature;game.final_emission_text;game.social;game.social_exchange_emission
tests.failure_classification_contract,tests/failure_classification_contract.py,test,supporting contract/test,False,6,0,2,4,0,2,0,0,2,0,tests/helpers/attribution_contract.py;tests/helpers/failure_classification_sync.py;tests/helpers/failure_classifier.py;tests/helpers/replay_drift_risk.py;tests/test_failure_classification_contract.py;tests/test_replay_drift_taxonomy.py,tests.helpers.golden_replay_projection;tests.helpers.replay_drift_taxonomy
tests.helpers.attribution_completeness_metric,tests/helpers/attribution_completeness_metric.py,helper,semantic replacement attribution,False,3,0,2,1,0,2,0,0,2,0,tests/helpers/attribution_regression_guard.py;tests/test_attribution_completeness_metric.py;tests/test_attribution_regression_guard.py,tests.helpers.attribution_contract;tests.helpers.replacement_attribution_inventory
tests.helpers.attribution_contract,tests/helpers/attribution_contract.py,helper,semantic replacement attribution,False,4,0,2,2,0,4,1,1,2,0,tests/helpers/attribution_completeness_metric.py;tests/helpers/replacement_attribution_inventory.py;tests/test_attribution_completeness_metric.py;tests/test_attribution_contract.py,game.final_emission_replay_projection;tests.failure_classification_contract;tests.helpers.failure_classifier;tests.helpers.replacement_attribution_inventory
tests.helpers.attribution_regression_guard,tests/helpers/attribution_regression_guard.py,helper,semantic replacement attribution,False,1,0,1,0,0,1,0,0,1,0,tests/test_attribution_regression_guard.py,tests.helpers.attribution_completeness_metric
tests.helpers.dialogue_social_plan,tests/helpers/dialogue_social_plan.py,helper,strict-social composition,False,8,0,8,0,0,1,1,0,0,0,tests/test_block_t_speaker_relocation_shadow_equivalence.py;tests/test_block_u_finalize_stack_divergence.py;tests/test_dialogue_plan_final_emission_gate.py;tests/test_dialogue_social_plan_block_x_contract_pins.py;tests/test_dialogue_social_plan_block_y.py;tests/test_dialogue_social_plan_block_z.py;tests/test_golden_replay_direct_seam.py;tests/test_strict_social_emergency_fallback_dialogue.py,game.dialogue_social_plan
tests.helpers.emission_smoke_assertions,tests/helpers/emission_smoke_assertions.py,helper,supporting contract/test,False,70,0,66,4,0,5,5,0,0,0,tests/helpers/opening_fallback_evidence.py;tests/helpers/strict_social_harness.py;tests/helpers/transcript_snapshots.py;tests/helpers/turn_pipeline_http_fixtures.py;tests/test_answer_completeness_rules.py;tests/test_anti_railroading.py;tests/test_anti_railroading_retry_alignment.py;tests/test_anti_railroading_transcript_regressions.py;tests/test_anti_reset_emission_guard.py;tests/test_api_narration_path_selection.py;tests/test_block_s_speaker_local_rebind_equivalence.py;tests/test_block_u_finalize_stack_divergence.py;tests/test_broad_address_social_bid.py;tests/test_broadcast_open_call_social.py;tests/test_c4_narrative_mode_live_pipeline.py;tests/test_context_separation.py;tests/test_contextual_minimal_repair_regressions.py;tests/test_dead_turn_detection.py;tests/test_dialogue_plan_final_emission_gate.py;tests/test_dialogue_social_convergence.py;tests/test_diegetic_fallback_narration.py;tests/test_emission_smoke_assertions_contract.py;tests/test_empty_social_retry_regressions.py;tests/test_fallback_behavior_gate.py;tests/test_fallback_behavior_repairs.py;tests/test_fallback_overwrite_containment.py;tests/test_fallback_shipped_contract_propagation.py;tests/test_final_emission_answer_exposition_plan_convergence.py;tests/test_final_emission_boundary_convergence.py;tests/test_final_emission_boundary_no_semantic_repair.py;tests/test_final_emission_gate_diagnostics.py;tests/test_final_emission_gate_orchestration_order.py;tests/test_final_emission_opening_fallback.py;tests/test_final_emission_response_type.py;tests/test_final_emission_scene_integrity.py;tests/test_final_emission_visibility.py;tests/test_golden_replay_direct_seam.py;tests/test_interaction_continuity_repair.py;tests/test_lead_lifecycle_block3_transcript_regression.py;tests/test_lead_npc_payoff_and_fallback.py;tests/test_manual_play_latency.py;tests/test_mixed_state_recovery_regressions.py;tests/test_narration_transcript_regressions.py;tests/test_narrative_authority_rules.py;tests/test_narrative_mode_output_validator.py;tests/test_observational_telemetry_confidence.py;tests/test_opening_start_seam_regressions.py;tests/test_player_facing_narration_purity.py;tests/test_prompt_context.py;tests/test_referential_clarity_player_coref.py;tests/test_referential_clarity_strict_social_local_repair.py;tests/test_response_delta_requirement.py;tests/test_response_policy_contracts.py;tests/test_retry_tone_alignment.py;tests/test_run_scenario_spine_validation.py;tests/test_scene_destination_binding.py;tests/test_scene_state_anchoring.py;tests/test_scene_transition_authority.py;tests/test_social_emission_quality.py;tests/test_social_exchange_emission.py;tests/test_social_interaction_authority.py;tests/test_social_speaker_grounding.py;tests/test_speaker_contract_enforcement.py;tests/test_speaker_contract_risk.py;tests/test_strict_social_emergency_fallback_dialogue.py;tests/test_synthetic_smoke.py;tests/test_tone_escalation_rules.py;tests/test_turn_packet_stage_diff_integration.py;tests/test_turn_pipeline_shared.py;tests/test_upstream_fast_fallback_block_l.py,game.final_emission_meta;game.final_emission_repairs;game.final_emission_response_type;game.final_emission_runtime;game.final_emission_validators
tests.helpers.failure_classifier,tests/helpers/failure_classifier.py,helper,supporting contract/test,False,12,0,6,6,0,4,2,1,1,0,tests/helpers/attribution_contract.py;tests/helpers/failure_classification_sync.py;tests/helpers/failure_dashboard_report.py;tests/helpers/golden_replay.py;tests/helpers/replacement_attribution_inventory.py;tests/helpers/replay_drift_taxonomy.py;tests/test_attribution_contract.py;tests/test_failure_classification_contract.py;tests/test_failure_classifier.py;tests/test_failure_dashboard_report.py;tests/test_replacement_attribution_inventory.py;tests/test_replay_drift_taxonomy.py,game.final_emission_meta;game.final_emission_replay_projection;tests.failure_classification_contract;tests.helpers.replay_drift_taxonomy
tests.helpers.failure_dashboard_report,tests/helpers/failure_dashboard_report.py,helper,supporting contract/test,False,16,0,12,4,0,7,1,0,6,0,tests/conftest.py;tests/helpers/failure_classification_sync.py;tests/helpers/failure_dashboard_fixtures.py;tests/helpers/golden_replay.py;tests/helpers/replay_bug_recurrence.py;tests/test_failure_classification_contract.py;tests/test_failure_classifier.py;tests/test_failure_dashboard_controlled_failures.py;tests/test_failure_dashboard_report.py;tests/test_golden_replay_protected_bridge.py;tests/test_recurrence_trajectory_history.py;tests/test_replay_drift_hotspots.py;tests/test_replay_drift_longitudinal.py;tests/test_replay_drift_risk.py;tests/test_replay_drift_trends.py;tests/test_stability_reporting_contract.py,game.runtime_lineage_telemetry;tests.helpers.failure_classification_sync;tests.helpers.failure_classifier;tests.helpers.golden_replay_projection;tests.helpers.replay_bug_recurrence;tests.helpers.replay_drift_reports;tests.helpers.runtime_lineage_reporting
tests.helpers.fallback_behavior_fixtures,tests/helpers/fallback_behavior_fixtures.py,helper,fallback selection/projection,False,5,0,5,0,0,0,0,0,0,0,tests/test_fallback_behavior_gate.py;tests/test_fallback_behavior_repairs.py;tests/test_fallback_behavior_validator.py;tests/test_final_emission_repairs.py;tests/test_narration_transcript_regressions.py,
tests.helpers.gate_equivalence_monkeypatch,tests/helpers/gate_equivalence_monkeypatch.py,helper,gate orchestration/preflight,False,8,0,7,1,0,6,5,0,1,0,tests/helpers/speaker_relocation_shadow_harness.py;tests/test_block_s_speaker_local_rebind_equivalence.py;tests/test_block_t_speaker_relocation_shadow_equivalence.py;tests/test_final_emission_gate_delegator_regression.py;tests/test_final_emission_gate_diagnostics.py;tests/test_final_emission_gate_orchestration_order.py;tests/test_golden_replay_direct_seam.py;tests/test_ownership_registry.py,game.final_emission_gate;game.final_emission_repairs;game.final_emission_response_type;game.final_emission_strict_social_stack;game.speaker_contract_enforcement;tests.helpers.speaker_gate_order
tests.helpers.gate_thin_boundary_locks,tests/helpers/gate_thin_boundary_locks.py,helper,gate orchestration/preflight,False,2,0,2,0,0,2,2,0,0,0,tests/test_final_emission_gate_delegator_regression.py;tests/test_ownership_registry.py,game.interaction_continuity;game.speaker_contract_enforcement
tests.helpers.golden_replay,tests/helpers/golden_replay.py,helper,replay projection/governance,False,8,0,7,1,0,12,6,0,6,0,tests/helpers/golden_replay_api.py;tests/test_golden_replay_direct_seam.py;tests/test_golden_replay_helper_contracts.py;tests/test_golden_replay_long_session.py;tests/test_golden_replay_protected_bridge.py;tests/test_golden_replay_scenario_spine.py;tests/test_golden_replay_structural_invariants.py;tests/test_stability_reporting_contract.py,game.api;game.defaults;game.models;game.runtime_lineage_telemetry;game.scenario_spine;game.scenario_spine_eval;tests.helpers.failure_classifier;tests.helpers.failure_dashboard_report;tests.helpers.golden_replay_projection;tests.helpers.replay_drift_taxonomy;tests.helpers.runtime_lineage_reporting;tests.helpers.transcript_runner
tests.helpers.golden_replay_api,tests/helpers/golden_replay_api.py,helper,replay projection/governance,False,8,0,7,1,0,1,0,0,1,0,tests/helpers/replay_drift_taxonomy.py;tests/test_failure_dashboard_report.py;tests/test_final_emission_meta.py;tests/test_golden_replay_fallback_projection.py;tests/test_golden_replay_projection.py;tests/test_replay_drift_longitudinal.py;tests/test_replay_drift_taxonomy.py;tests/test_stability_reporting_contract.py,tests.helpers.golden_replay
tests.helpers.golden_replay_fixtures,tests/helpers/golden_replay_fixtures.py,helper,replay projection/governance,False,8,0,7,1,0,2,1,0,1,0,tests/helpers/speaker_contract_risk.py;tests/test_final_emission_meta.py;tests/test_golden_replay_direct_seam.py;tests/test_golden_replay_fallback_projection.py;tests/test_golden_replay_long_session.py;tests/test_golden_replay_projection.py;tests/test_golden_replay_scenario_spine.py;tests/test_golden_replay_structural_invariants.py,game.defaults;tests.helpers.golden_replay_projection
tests.helpers.golden_replay_profiles,tests/helpers/golden_replay_profiles.py,helper,replay projection/governance,False,1,0,1,0,0,1,0,0,1,0,tests/test_golden_replay_long_session.py,tests.helpers.golden_replay_projection
tests.helpers.golden_replay_projection,tests/helpers/golden_replay_projection.py,helper,replay projection/governance,False,17,0,8,9,0,7,5,1,1,0,tests/failure_classification_contract.py;tests/helpers/failure_classification_sync.py;tests/helpers/failure_dashboard_fixtures.py;tests/helpers/failure_dashboard_report.py;tests/helpers/golden_replay.py;tests/helpers/golden_replay_fixtures.py;tests/helpers/golden_replay_profiles.py;tests/helpers/replay_drift_risk.py;tests/helpers/replay_observed_row_fixtures.py;tests/helpers/speaker_contract_risk.py;tests/test_failure_classification_contract.py;tests/test_failure_classifier.py;tests/test_failure_dashboard_controlled_failures.py;tests/test_final_emission_meta.py;tests/test_golden_replay_fallback_projection.py;tests/test_golden_replay_projection.py;tests/test_ownership_registry.py,game.final_emission_meta;game.final_emission_replay_projection;game.output_sanitizer;game.realization_provenance;game.runtime_lineage_telemetry;tests.debug_trace_utils;tests.helpers.transcript_runner
tests.helpers.opening_fallback_evidence,tests/helpers/opening_fallback_evidence.py,helper,fallback selection/projection,False,21,0,18,3,0,4,3,0,1,0,tests/helpers/failure_classification_sync.py;tests/helpers/failure_dashboard_fixtures.py;tests/helpers/replacement_attribution_inventory.py;tests/test_api_narration_path_selection.py;tests/test_diegetic_fallback_narration.py;tests/test_failure_classifier.py;tests/test_final_emission_gate_orchestration_order.py;tests/test_final_emission_gate_selector_snapshots.py;tests/test_final_emission_meta.py;tests/test_final_emission_opening_fallback.py;tests/test_final_emission_sealed_fallback.py;tests/test_final_emission_visibility.py;tests/test_final_emission_visibility_fallback.py;tests/test_golden_replay_direct_seam.py;tests/test_golden_replay_fallback_projection.py;tests/test_golden_replay_projection.py;tests/test_opening_fallback_owner_bucket.py;tests/test_realization_provenance.py;tests/test_replacement_attribution_inventory.py;tests/test_run_scenario_spine_validation.py;tests/test_upstream_response_repairs.py,game.final_emission_meta;game.realization_provenance;game.upstream_response_repairs;tests.helpers.emission_smoke_assertions
tests.helpers.opening_fallback_gate_harness,tests/helpers/opening_fallback_gate_harness.py,helper,fallback selection/projection,False,2,0,2,0,0,4,4,0,0,0,tests/test_diegetic_fallback_narration.py;tests/test_final_emission_opening_fallback.py,game.final_emission_opening_fallback;game.final_emission_response_type;game.final_emission_visibility_fallback;game.upstream_response_repairs
tests.helpers.post_speaker_finalize_probe,tests/helpers/post_speaker_finalize_probe.py,helper,speaker finalization,False,3,0,2,1,0,8,8,0,0,0,tests/helpers/speaker_contract_risk.py;tests/test_block_u_finalize_stack_divergence.py;tests/test_speaker_contract_risk.py,game.dialogue_social_plan;game.emitted_speaker_signature;game.final_emission_finalize;game.final_emission_repairs;game.final_emission_strict_social_stack;game.final_emission_terminal_pipeline;game.final_emission_text;game.final_emission_visibility_fallback
tests.helpers.replacement_attribution_inventory,tests/helpers/replacement_attribution_inventory.py,helper,semantic replacement attribution,False,5,0,3,2,0,6,2,0,4,0,tests/helpers/attribution_completeness_metric.py;tests/helpers/attribution_contract.py;tests/test_attribution_completeness_metric.py;tests/test_attribution_contract.py;tests/test_replacement_attribution_inventory.py,game.final_emission_meta;game.final_emission_replay_projection;tests.helpers.attribution_contract;tests.helpers.failure_classification_sync;tests.helpers.failure_classifier;tests.helpers.opening_fallback_evidence
tests.helpers.replay_drift_taxonomy,tests/helpers/replay_drift_taxonomy.py,helper,replay projection/governance,False,15,0,7,8,0,3,0,0,3,0,tests/failure_classification_contract.py;tests/helpers/failure_classifier.py;tests/helpers/golden_replay.py;tests/helpers/replay_bug_recurrence.py;tests/helpers/replay_drift_hotspots.py;tests/helpers/replay_drift_longitudinal.py;tests/helpers/replay_drift_reports.py;tests/helpers/replay_drift_risk.py;tests/helpers/replay_drift_trends.py;tests/test_replay_drift_hotspots.py;tests/test_replay_drift_longitudinal.py;tests/test_replay_drift_risk.py;tests/test_replay_drift_taxonomy.py;tests/test_replay_drift_trends.py;tests/test_stability_reporting_contract.py,tests.helpers.failure_classifier;tests.helpers.golden_replay_api;tests.helpers.replay_observed_row_fixtures
tests.helpers.replay_observed_row_fixtures,tests/helpers/replay_observed_row_fixtures.py,helper,supporting contract/test,False,9,0,6,3,0,2,1,0,1,0,tests/helpers/failure_classification_sync.py;tests/helpers/failure_dashboard_fixtures.py;tests/helpers/replay_drift_taxonomy.py;tests/test_failure_classification_contract.py;tests/test_failure_dashboard_report.py;tests/test_golden_replay_projection.py;tests/test_golden_replay_protected_bridge.py;tests/test_replay_drift_taxonomy.py;tests/test_stability_reporting_contract.py,game.runtime_lineage_telemetry;tests.helpers.golden_replay_projection
tests.helpers.runtime_lineage_reporting,tests/helpers/runtime_lineage_reporting.py,helper,semantic replacement attribution,False,4,0,2,2,0,1,1,0,0,0,tests/helpers/failure_dashboard_report.py;tests/helpers/golden_replay.py;tests/test_run_scenario_spine_validation.py;tests/test_runtime_lineage_telemetry.py,game.runtime_lineage_telemetry
tests.helpers.speaker_contract_risk,tests/helpers/speaker_contract_risk.py,helper,speaker finalization,False,1,0,1,0,0,5,2,0,3,0,tests/test_speaker_contract_risk.py,game.emitted_speaker_signature;game.final_emission_text;tests.helpers.golden_replay_fixtures;tests.helpers.golden_replay_projection;tests.helpers.post_speaker_finalize_probe
tests.helpers.speaker_gate_order,tests/helpers/speaker_gate_order.py,helper,speaker finalization,False,4,0,2,2,0,1,1,0,0,0,tests/helpers/gate_equivalence_monkeypatch.py;tests/helpers/speaker_relocation_shadow_harness.py;tests/test_block_s_speaker_local_rebind_equivalence.py;tests/test_block_t_speaker_relocation_shadow_equivalence.py,game.final_emission_text
tests.helpers.speaker_relocation_shadow_harness,tests/helpers/speaker_relocation_shadow_harness.py,helper,speaker finalization,False,4,0,4,0,0,5,2,0,3,0,tests/test_block_s_speaker_local_rebind_equivalence.py;tests/test_block_t_speaker_relocation_shadow_equivalence.py;tests/test_block_u_finalize_stack_divergence.py;tests/test_speaker_contract_risk.py,game.final_emission_strict_social_stack;game.speaker_contract_enforcement;tests.helpers.gate_equivalence_monkeypatch;tests.helpers.speaker_gate_order;tests.helpers.strict_social_harness
tests.helpers.strict_social_harness,tests/helpers/strict_social_harness.py,helper,supporting contract/test,False,15,0,14,1,0,7,6,0,1,0,tests/helpers/speaker_relocation_shadow_harness.py;tests/test_block_s_speaker_local_rebind_equivalence.py;tests/test_block_t_speaker_relocation_shadow_equivalence.py;tests/test_final_emission_boundary_convergence.py;tests/test_final_emission_gate_delegator_regression.py;tests/test_final_emission_gate_diagnostics.py;tests/test_final_emission_gate_orchestration_order.py;tests/test_final_emission_gate_selector_snapshots.py;tests/test_gauntlet_regressions.py;tests/test_golden_replay_direct_seam.py;tests/test_ownership_registry.py;tests/test_prompt_context.py;tests/test_scene_state_anchoring.py;tests/test_speaker_contract_enforcement.py;tests/test_speaker_contract_risk.py,game.defaults;game.final_emission_strict_social_stack;game.interaction_context;game.narrative_authority;game.social_exchange_emission;game.storage;tests.helpers.emission_smoke_assertions
tests.replay_governance_contract,tests/replay_governance_contract.py,test,ownership enforcement,False,5,0,4,1,0,0,0,0,0,0,tests/helpers/replay_governance_fixtures.py;tests/replay_governance_registry.py;tests/test_replay_governance_authority.py;tests/test_replay_governance_contract.py;tests/test_replay_governance_registry.py,
tests.replay_governance_registry,tests/replay_governance_registry.py,test,ownership enforcement,False,4,0,4,0,0,1,0,1,0,0,tests/replay_governance_traceability_contract.py;tests/test_replay_governance_authority.py;tests/test_replay_governance_registry.py;tests/test_replay_governance_traceability_contract.py,tests.replay_governance_contract
